# FCI-FPGA FoM wizard dataset, derived from Zenodo record 8037239
# See data/zenodo_to_gui_csv.py for exactly how energy_long/fci/psd were derived
# (fci is 1 - Zenodo's own FCI column; psd is computed here, not published)
energy_long,fci,psd
6599.67,0.163147,0.605536
6601,0.150308,0.581124
8277.67,0.119546,0.57629
19923,0.114182,0.573207
12430.7,0.108711,0.583503
7536.67,0.140432,0.590093
7871,0.13121,0.585948
8220.33,0.113915,0.565022
26880,0.0998916,0.599293
16372.7,0.106596,0.582088
13015,0.110739,0.597157
16207.7,0.109792,0.578882
6659.33,0.160563,0.540394
6220.67,0.119498,0.615904
6864.67,0.148028,0.579975
14823,0.108491,0.593942
15830.3,0.100817,0.592449
12487,0.124615,0.574918
6980.33,0.14393,0.635165
7334,0.139434,0.59381
27684.3,0.0875931,0.568432
7674,0.138966,0.624837
25568.7,0.103286,0.564649
9836.33,0.143246,0.604663
12490,0.112224,0.608887
24738.3,0.105488,0.561827
29445,0.086412,0.594057
6694,0.150584,0.566776
6159,0.177367,0.611301
5034.67,0.164914,0.582627
26146.3,0.0949512,0.587335
26560,0.104825,0.583245
11127.3,0.114095,0.557516
18901,0.102008,0.580816
14361.3,0.110773,0.550622
17389.7,0.10536,0.598075
25350.7,0.0946858,0.577276
14556,0.103956,0.582784
14697.7,0.0904609,0.574195
18581.3,0.104917,0.571846
20859,0.110247,0.602953
27858.3,0.100435,0.578343
5003.67,0.178341,0.536673
10415.3,0.140144,0.622512
7768,0.137241,0.585221
9977,0.127142,0.581237
8343,0.127044,0.55136
11024.3,0.12233,0.607535
12473.7,0.109964,0.621897
15629.3,0.109658,0.600452
13105.7,0.102276,0.634484
6697,0.15902,0.598328
9438.33,0.121197,0.592124
7216,0.148539,0.574834
17176,0.10175,0.58442
12995.3,0.128912,0.593341
7465,0.149475,0.578567
12609,0.115716,0.575224
4865.33,0.166628,0.571321
5337.67,0.180422,0.614188
15770.7,0.0932504,0.557322
25559,0.0878471,0.590751
15843.7,0.12053,0.591425
27586.3,0.102141,0.579478
5020.67,0.187016,0.60895
14223,0.0961018,0.571398
17287.3,0.087476,0.566407
13238.3,0.106648,0.611306
9118.67,0.111627,0.590145
25951.7,0.100624,0.589455
14881.3,0.114137,0.584535
26804.7,0.100305,0.599311
9138.33,0.132905,0.57195
13245.7,0.113778,0.555981
7833.33,0.13467,0.608766
17333.7,0.109278,0.568335
12315.7,0.131631,0.564593
19344.7,0.108153,0.584933
6633.67,0.143139,0.579066
16561,0.108976,0.608236
12768.3,0.11191,0.595431
8307.33,0.128201,0.588356
20174.3,0.113431,0.604415
15478,0.106095,0.588642
8406.33,0.128813,0.611285
9436.67,0.118967,0.621759
9708.33,0.118296,0.617579
7852.67,0.130186,0.558834
19733.3,0.0973611,0.590405
17222.7,0.120369,0.596152
15496.7,0.110185,0.591891
26726,0.0886763,0.580409
11982.7,0.117257,0.610493
29525.7,0.109041,0.598237
7424.33,0.163672,0.61065
12406.3,0.144983,0.618206
14195.3,0.112995,0.581787
16576,0.0908262,0.606479
16685.7,0.0977133,0.575004
16935.7,0.123783,0.615821
27751.7,0.0999875,0.583689
13796.3,0.114483,0.579623
26168,0.0918348,0.573907
8475,0.128402,0.578289
14716.7,0.108747,0.582831
5220.33,0.159738,0.56944
17820.7,0.108395,0.601624
8229.33,0.129005,0.587249
5154.67,0.158575,0.623189
16760.7,0.103918,0.590808
27888.7,0.112098,0.596419
7669,0.153375,0.579606
25749.7,0.0928308,0.581419
9194.33,0.125514,0.595113
16902,0.108417,0.578393
27394,0.0995208,0.589144
12068.3,0.109179,0.580914
6592,0.134875,0.604066
9308.33,0.123895,0.610922
12375.7,0.11693,0.555229
21118,0.0938996,0.599204
17774.3,0.102229,0.579975
5075.67,0.178008,0.592303
11042,0.114443,0.569281
14990.7,0.107256,0.619608
15077.3,0.104803,0.588212
8784.67,0.129853,0.569895
24885.7,0.102515,0.592081
6703,0.158313,0.565717
7875,0.144037,0.589587
12713,0.120257,0.553607
10519,0.118734,0.594448
28511.7,0.0981852,0.59447
13858,0.101465,0.590128
9866.33,0.124351,0.624717
11186,0.125357,0.584481
26443,0.0967083,0.556631
6523,0.130126,0.607543
8632.33,0.124098,0.591343
11349.7,0.115271,0.568504
15099,0.117729,0.60057
6979.67,0.133866,0.630594
17255.3,0.106318,0.581192
15031.3,0.101589,0.608507
24924,0.101965,0.584978
13910,0.133686,0.555931
7713.33,0.160552,0.585566
17915.7,0.117216,0.592628
13144,0.109325,0.591449
16645.3,0.105573,0.588073
8885.33,0.147733,0.566402
10033.3,0.140388,0.582027
7896,0.127722,0.586879
13102.3,0.138596,0.553616
6719.33,0.145868,0.59748
5164.33,0.152544,0.544246
25899,0.10918,0.60207
10764,0.116004,0.566425
14099.7,0.0911073,0.575853
25826.7,0.0962359,0.593585
5852.33,0.148561,0.577149
10042,0.119469,0.58096
18673,0.109312,0.589675
5439,0.177467,0.598639
20189.3,0.117889,0.59926
5255.67,0.181155,0.6232
6513.33,0.139532,0.542375
9988.67,0.127856,0.599313
17706.7,0.107439,0.573814
10549,0.145097,0.608304
19573.3,0.0972811,0.592626
12572,0.124067,0.589803
10972.7,0.123216,0.573546
19578,0.111891,0.587905
13483.3,0.127342,0.599159
18460,0.106369,0.581528
8936.67,0.129803,0.584819
20537.7,0.101819,0.589226
4982.33,0.155427,0.567137
5618.67,0.15088,0.590057
5833.33,0.138102,0.604057
7563.67,0.137505,0.57741
10613,0.133182,0.592952
10491.3,0.107143,0.561575
15760,0.116827,0.595305
6639,0.153183,0.608224
13548,0.12101,0.568497
20225,0.110017,0.594611
16745,0.103721,0.573007
5088,0.144185,0.586085
8338,0.126317,0.619093
9520.33,0.125155,0.586604
18975,0.0786669,0.585138
17622.3,0.0911865,0.592014
11728.3,0.124665,0.593833
11482.3,0.113924,0.605597
10927.3,0.123106,0.607071
9751,0.128468,0.630089
19545.7,0.10917,0.575234
7328.67,0.134315,0.605203
14884.3,0.11411,0.564934
16182.3,0.0931036,0.588708
9079.67,0.147473,0.579904
8797,0.103275,0.624531
6473.67,0.151324,0.640956
12700.3,0.128126,0.612792
9942.67,0.132487,0.603393
7744,0.126171,0.605243
9332,0.115138,0.590334
17705.3,0.104203,0.546596
6060,0.136732,0.59802
18442.7,0.100183,0.625145
4882.33,0.152503,0.552536
15865.3,0.0990585,0.583074
26398,0.0855371,0.58118
8088.67,0.121705,0.578752
14282.3,0.100351,0.600159
12491.7,0.108808,0.596184
20737.3,0.105855,0.599386
10671.7,0.108642,0.625332
10402,0.14064,0.609114
17833.3,0.107747,0.578056
8203,0.136119,0.5921
8390.67,0.110263,0.589266
8189,0.109785,0.560508
12584,0.126039,0.578353
16383.7,0.106077,0.563386
12866.7,0.0970648,0.556736
17427,0.102458,0.593332
9116.67,0.136136,0.629214
26285.7,0.0891885,0.585237
20269,0.118411,0.607973
16620.7,0.0988377,0.59771
9908.33,0.130716,0.575845
16173.3,0.126932,0.592003
19311,0.0921669,0.589405
17446.3,0.104766,0.604119
14576.3,0.0998786,0.602598
22424,0.103922,0.592
26838.7,0.09493,0.578543
27198.3,0.103823,0.592451
11808.3,0.114224,0.5871
8812,0.126524,0.5665
9093.33,0.120284,0.628666
7306.67,0.191055,0.60073
28488,0.0930305,0.598006
14255.7,0.111511,0.557416
9924.67,0.107347,0.598744
27465.3,0.0859787,0.598925
10707,0.12786,0.567292
27355.7,0.101945,0.578247
3910.67,0.183997,0.599983
5019.33,0.191601,0.607385
27226.3,0.117687,0.569583
28142,0.10045,0.5802
13400,0.0937076,0.593209
12172.3,0.106774,0.590739
19719.7,0.0999622,0.589226
5740,0.157522,0.587805
8322.67,0.136772,0.61727
4778,0.14871,0.599623
6878.33,0.149282,0.564769
20516.3,0.111003,0.611594
7021,0.129896,0.604472
8771,0.125711,0.589785
